condition_code,condition_group
274531002,clinical
75498004,clinical
10509002,clinical
307426000,clinical
195662009,clinical
61804006,clinical
271737000,clinical
49436004,clinical
162864005,clinical
124171000119105,clinical
278860009,clinical
1121000119107,clinical
82423001,clinical
40055000,clinical
84757009,clinical
59621000,clinical
125605004,clinical
65966004,clinical
278588009,clinical
18718003,clinical
66383009,clinical
55822004,clinical
83664006,clinical
427898007,clinical
307731004,clinical
414545008,clinical
239873007,clinical
64859006,clinical
443165006,clinical
65363002,clinical
446096008,clinical
714628002,clinical
109570002,clinical
95417003,clinical
197927001,clinical
128613002,clinical
80583007,clinical
36971009,clinical
384709000,clinical
44465007,clinical
43878008,clinical
73595000,clinical
127294003,clinical
444814009,clinical
473461003,social
160903007,social
266948004,social
105531004,social
713458007,social
423315002,social
741062008,social
160904001,social
224299000,social
424393004,social
422650009,social
266934004,social
73438004,social
706893006,social
399261000,history
1290882004,history
267020005,history
161744009,history
314529007,history
183996000,history
160968000,behavioral
10939881000119105,behavioral
